From	To
O43175	PHGDH
O43181	NDUFS4
O43182	ARHGAP6
O43189	PHF1
O43237	DYNC1LI2
O43242	PSMD3
O43252	PAPSS1
O43290	SART1
O43294	TGFB1I1
O43299	AP5Z1
O43304	SEC14L5
O43306	ADCY6
O43312	MTSS1
O43318	MAP3K7
O43324	EEF1E1
O43353	RIPK2
O43390	HNRNPR
O43395	PRPF3
O43396	TXNL1
O43402	EMC8
O43427	FIBP
O43447	PPIH
O43464	HTRA2
O43488	AKR7A2
O43491	EPB41L2
O43493	TGOLN2
O43504	LAMTOR5
O43516	WIPF1
O43561	LAT
O43566	RGS14
O43583	DENR
O43586	PSTPIP1
O43592	XPOT
O43598	DNPH1
O43615	TIMM44
O43633	CHMP2A
O43639	NCK2
O43660	PLRG1
O43665	RGS10
O43676	NDUFB3
O43678	NDUFA2
O43681	GET3
O43684	BUB3
O43707	ACTN4
O43715	TRIAP1
O43719	HTATSF1
O43747	AP1G1
O43752	STX6
O43759	SYNGR1
O43760	SYNGR2
O43765	SGTA
O43768	ENSA
O43772	SLC25A20
O43776	NARS1
O43809	NUDT21
O43813	LANCL1
O43815	STRN
O43818	RRP9
O43819	SCO2
O43823	AKAP8
O43852	CALU
O43865	AHCYL1
O43866	CD5L
O43914	TYROBP
O43920	NDUFS5
O43929	ORC4
O60216	RAD21
O60220	TIMM8A
O60231	DHX16
O60232	ZNRD2
O60234	GMFG
O60256	PRPSAP2
O60262	GNG7
O60264	SMARCA5
O60268	KIAA0513
O60271	SPAG9
O60303	KATNIP
O60307	MAST3
O60318	MCM3AP
O60331	PIP5K1C
O60333	KIF1B
O60341	KDM1A
O60346	PHLPP1
O60361	NME2P1
O60488	ACSL4
O60493	SNX3
O60496	DOK2
O60500	NPHS1
O60502	OGA
O60506	SYNCRIP
O60508	CDC40
O60547	GMDS
O60551	NMT2
O60568	PLOD3
O60573	EIF4E2
O60603	TLR2
O60645	EXOC3
O60664	PLIN3
O60669	SLC16A7
O60674	JAK2
O60678	PRMT3
O60684	KPNA6
O60704	TPST2
O60711	LPXN
O60749	SNX2
O60763	USO1
O60784	TOM1
O60814	H2BC12
O60826	CCDC22
O60828	PQBP1
O60831	PRAF2
O60832	DKC1
O60861	GAS7
O60869	EDF1
O60884	DNAJA2
O60885	BRD4
O60888	CUTA
O60890	OPHN1
O60907	TBL1X
O60925	PFDN1
O75064	DENND4B
O75069	TMCC2
O75083	WDR1
O75113	N4BP1
O75116	ROCK2
O75131	CPNE3
O75140	DEPDC5
O75146	HIP1R
O75150	RNF40
O75152	ZC3H11A
O75154	RAB11FIP3
O75165	DNAJC13
O75167	PHACTR2
O75170	PPP6R2
O75175	CNOT3
O75179	ANKRD17
O75208	COQ9
O75223	GGCT
O75298	RTN2
O75306	NDUFS2
O75312	ZPR1
O75323	NIPSNAP2
O75340	PDCD6
O75348	ATP6V1G1
O75351	VPS4B
O75362	ZNF217
O75367	MACROH2A1
O75368	SH3BGRL
O75369	FLNB
O75376	NCOR1
O75390	CS
O75391	SPAG7
O75396	SEC22B
O75400	PRPF40A
O75410	TACC1
O75420	GIGYF1
O75427	LRCH4
O75436	VPS26A
O75438	NDUFB1
O75449	KATNA1
O75475	PSIP1
O75477	ERLIN1
O75489	NDUFS3
O75494	SRSF10
O75506	HSBP1
O75521	ECI2
O75528	TADA3
O75530	EED
O75531	BANF1
O75533	SF3B1
O75534	CSDE1
O75558	STX11
O75563	SKAP2
O75569	PRKRA
O75592	MYCBP2
O75608	LYPLA1
O75643	SNRNP200
O75663	TIPRL
O75665	OFD1
O75676	RPS6KA4
O75688	PPM1B
O75694	NUP155
O75695	RP2
O75718	CRTAP
O75746	SLC25A12
O75791	GRAP2
O75792	RNASEH2A
O75821	EIF3G
O75822	EIF3J
O75828	CBR3
O75832	PSMD10
O75843	AP1G2
O75844	ZMPSTE24
O75874	IDH1
O75880	SCO1
O75884	RBBP9
O75886	STAM2
O75909	CCNK
O75915	ARL6IP5
O75935	DCTN3
O75937	DNAJC8
O75940	SMNDC1
O75947	ATP5PD
O75955	FLOT1
O75956	CDK2AP2
O75964	ATP5MG
O75995	SASH3
O76003	GLRX3
O76021	RSL1D1
O76031	CLPX
O76071	CIAO1
O76074	PDE5A
O76081	RGS20
O76094	SRP72
O76095	JTB
O76096	CST7
O94763	URI1
O94766	B3GAT3
O94768	STK17B
O94776	MTA2
O94804	STK10
O94826	TOMM70
O94829	IPO13
O94830	DDHD2
O94832	MYO1D
O94855	SEC24D
O94874	UFL1
O94886	TMEM63A
O94903	PLPBP
O94905	ERLIN2
O94906	PRPF6
O94915	FRYL
O94919	ENDOD1
O94925	GLS
O94929	ABLIM3
O94973	AP2A2
O94992	HEXIM1
O95081	AGFG2
O95104	SCAF4
O95139	NDUFB6
O95140	MFN2
O95155	UBE4B
O95163	ELP1
O95168	NDUFB4
O95169	NDUFB8
O95178	NDUFB2
O95182	NDUFA7
O95183	VAMP5
O95197	RTN3
O95202	LETM1
O95218	ZRANB2
O95232	LUC7L3
O95236	APOL3
O95243	MBD4
O95251	KAT7
O95260	ATE1
O95273	CCNDBP1
O95292	VAPB
O95295	SNAPIN
O95298	NDUFC2
O95336	PGLS
O95347	SMC2
O95352	ATG7
O95372	LYPLA2
O95373	IPO7
O95379	TNFAIP8
O95425	SVIL
O95429	BAG4
O95433	AHSA1
O95445	APOM
O95456	PSMG1
O95466	FMNL1
O95470	SGPL1
O95486	SEC24A
O95487	SEC24B
O95497	VNN1
O95498	VNN2
O95544	NADK
O95551	TDP2
O95563	MPC2
O95568	METTL18
O95573	ACSL3
O95630	STAMBP
O95671	ASMTL
O95674	CDS2
O95684	CEP43
O95685	PPP1R3D
O95696	BRD1
O95714	HERC2
O95716	RAB3D
O95721	SNAP29
O95747	OXSR1
O95749	GGPS1
O95758	PTBP3
O95777	LSM8
O95782	AP2A1
O95786	RIGI
O95810	CAVIN2
O95822	MLYCD
O95825	CRYZL1
O95831	AIFM1
O95833	CLIC3
O95834	EML2
O95858	TSPAN15
O95861	BPNT1
O95865	DDAH2
O95866	MPIG6B
O95876	WDPCP
O95881	TXNDC12
O95980	RECK
O95985	TOP3B
